i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.139,0.00,0.25,0.48409,0.323,0.30,0.35,1.3670,1.0000,1.5000,0.06952,0.00,0.10,FuuA,3207.39628,42.58296,320.73963,neutron,pi+
1,11,0.125,0.00,0.25,0.52409,0.323,0.30,0.35,1.3246,1.0000,1.5000,0.12735,0.10,0.15,FuuA,3069.77749,35.17026,306.97775,neutron,pi+
2,11,0.116,0.00,0.25,0.55617,0.323,0.30,0.35,1.2982,1.0000,1.5000,0.17569,0.15,0.20,FuuA,2839.42268,27.14186,283.94227,neutron,pi+
3,11,0.108,0.00,0.25,0.58839,0.323,0.30,0.35,1.2781,1.0000,1.5000,0.22572,0.20,0.25,FuuA,2525.56558,22.85868,252.55656,neutron,pi+
4,11,0.102,0.00,0.25,0.61874,0.323,0.30,0.35,1.2631,1.0000,1.5000,0.27573,0.25,0.30,FuuA,2173.88488,20.83618,217.38849,neutron,pi+
5,11,0.097,0.00,0.25,0.64378,0.323,0.30,0.35,1.2516,1.0000,1.5000,0.32552,0.30,0.35,FuuA,1821.06888,19.78942,182.10689,neutron,pi+
6,11,0.094,0.00,0.25,0.66157,0.324,0.30,0.35,1.2447,1.0000,1.5000,0.37522,0.35,0.40,FuuA,1486.48539,19.99980,148.64854,neutron,pi+
7,11,0.092,0.00,0.25,0.67384,0.324,0.30,0.35,1.2408,1.0000,1.5000,0.42476,0.40,0.45,FuuA,1182.09081,20.64578,118.20908,neutron,pi+
8,11,0.092,0.00,0.25,0.68032,0.324,0.30,0.35,1.2382,1.0000,1.5000,0.47427,0.45,0.50,FuuA,916.84423,21.80770,91.68442,neutron,pi+
9,11,0.091,0.00,0.25,0.68452,0.324,0.30,0.35,1.2365,1.0000,1.5000,0.52420,0.50,0.55,FuuA,690.42155,22.58605,69.04216,neutron,pi+
10,11,0.090,0.00,0.25,0.69238,0.325,0.30,0.35,1.2356,1.0000,1.5000,0.57440,0.55,0.60,FuuA,502.25196,25.74246,50.22520,neutron,pi+
11,11,0.088,0.00,0.25,0.70428,0.326,0.30,0.35,1.2314,1.0000,1.5000,0.64345,0.60,0.70,FuuA,316.50430,24.62150,31.65043,neutron,pi+
12,11,0.082,0.00,0.25,0.73654,0.328,0.30,0.35,1.2254,1.0000,1.5000,0.74046,0.70,0.80,FuuA,149.19836,46.35967,14.91984,neutron,pi+
13,11,0.077,0.00,0.25,0.78127,0.333,0.30,0.35,1.2235,1.0000,1.5000,0.83656,0.80,1.60,FuuA,63.68134,107.20771,6.36813,neutron,pi+
14,11,0.141,0.00,0.25,0.47985,0.373,0.35,0.40,1.3719,1.0000,1.5000,0.07030,0.00,0.10,FuuA,2167.32327,50.52334,216.73233,neutron,pi+
15,11,0.128,0.00,0.25,0.51386,0.373,0.35,0.40,1.3336,1.0000,1.5000,0.12893,0.10,0.15,FuuA,2085.68814,43.35271,208.56881,neutron,pi+
