#i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.226,0.00,0.25,0.57793,0.346,0.30,0.40,2.6895,2.5000,3.0000,0.06592,0.00,0.10,FuuA,585.58145,52.97174,58.55815,neutron,pi+
1,11,0.222,0.00,0.25,0.59019,0.343,0.30,0.40,2.6899,2.5000,3.0000,0.15428,0.10,0.20,FuuA,537.39949,32.65890,53.73995,neutron,pi+
2,11,0.217,0.00,0.25,0.60296,0.346,0.30,0.40,2.6919,2.5000,3.0000,0.25034,0.20,0.30,FuuA,424.20579,30.06633,42.42058,neutron,pi+
3,11,0.215,0.00,0.25,0.60877,0.347,0.30,0.40,2.6857,2.5000,3.0000,0.34779,0.30,0.40,FuuA,310.48661,34.97702,31.04866,neutron,pi+
4,11,0.216,0.00,0.25,0.60622,0.346,0.30,0.40,2.6850,2.5000,3.0000,0.44713,0.40,0.50,FuuA,204.98137,42.62356,20.49814,neutron,pi+
5,11,0.217,0.00,0.25,0.60380,0.346,0.30,0.40,2.6851,2.5000,3.0000,0.54945,0.50,0.60,FuuA,117.64875,52.54168,11.76487,neutron,pi+
6,11,0.217,0.00,0.25,0.60295,0.349,0.30,0.40,2.6852,2.5000,3.0000,0.65026,0.60,0.70,FuuA,61.01060,64.52963,6.10106,neutron,pi+
7,11,0.216,0.00,0.25,0.60652,0.357,0.30,0.40,2.6914,2.5000,3.0000,0.78032,0.70,1.60,FuuA,23.94686,79.98298,2.39469,neutron,pi+
8,11,0.227,0.00,0.25,0.57639,0.443,0.40,0.50,2.6901,2.5000,3.0000,0.07118,0.00,0.10,FuuA,266.79632,71.35894,26.67963,neutron,pi+
9,11,0.224,0.00,0.25,0.58495,0.443,0.40,0.50,2.6870,2.5000,3.0000,0.15517,0.10,0.20,FuuA,246.29369,49.98822,24.62937,neutron,pi+
10,11,0.220,0.00,0.25,0.59505,0.446,0.40,0.50,2.6919,2.5000,3.0000,0.24893,0.20,0.30,FuuA,204.70304,39.82775,20.47030,neutron,pi+
11,11,0.217,0.00,0.25,0.60520,0.445,0.40,0.50,2.6900,2.5000,3.0000,0.34844,0.30,0.40,FuuA,159.68726,42.27173,15.96873,neutron,pi+
12,11,0.215,0.00,0.25,0.60849,0.449,0.40,0.50,2.6847,2.5000,3.0000,0.44764,0.40,0.50,FuuA,111.97767,49.90454,11.19777,neutron,pi+
13,11,0.216,0.00,0.25,0.60620,0.446,0.40,0.50,2.6845,2.5000,3.0000,0.54982,0.50,0.60,FuuA,74.09558,60.41830,7.40956,neutron,pi+
14,11,0.217,0.00,0.25,0.60428,0.450,0.40,0.50,2.6849,2.5000,3.0000,0.65639,0.60,0.70,FuuA,42.34090,79.28350,4.23409,neutron,pi+
15,11,0.217,0.00,0.25,0.60326,0.447,0.40,0.50,2.6852,2.5000,3.0000,0.83414,0.70,1.60,FuuA,15.95319,69.93606,1.59532,neutron,pi+
16,11,0.228,0.00,0.25,0.57450,0.549,0.50,0.60,2.6924,2.5000,3.0000,0.06567,0.00,0.10,FuuA,121.84385,111.92846,12.18438,neutron,pi+
17,11,0.225,0.00,0.25,0.58207,0.540,0.50,0.60,2.6863,2.5000,3.0000,0.15586,0.10,0.20,FuuA,120.68984,65.09574,12.06898,neutron,pi+
18,11,0.222,0.00,0.25,0.59034,0.549,0.50,0.60,2.6896,2.5000,3.0000,0.25448,0.20,0.30,FuuA,99.03126,56.17653,9.90313,neutron,pi+
19,11,0.219,0.00,0.25,0.59955,0.543,0.50,0.60,2.6925,2.5000,3.0000,0.34946,0.30,0.40,FuuA,84.53244,55.88485,8.45324,neutron,pi+
20,11,0.216,0.00,0.25,0.60635,0.545,0.50,0.60,2.6886,2.5000,3.0000,0.44466,0.40,0.50,FuuA,64.11763,60.26419,6.41176,neutron,pi+
21,11,0.215,0.00,0.25,0.60868,0.554,0.50,0.60,2.6844,2.5000,3.0000,0.53975,0.50,0.60,FuuA,44.80794,70.99034,4.48079,neutron,pi+
22,11,0.216,0.00,0.25,0.60704,0.541,0.50,0.60,2.6837,2.5000,3.0000,0.63011,0.60,0.70,FuuA,33.34169,91.12029,3.33417,neutron,pi+
23,11,0.216,0.00,0.25,0.60656,0.550,0.50,0.60,2.6854,2.5000,3.0000,0.82997,0.70,1.60,FuuA,13.53465,67.71766,1.35346,neutron,pi+
