i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.33491,0.349,0.30,0.40,1.8451,1.5000,2.0000,0.07463,0.00,0.10,FuuA,1257.91621,86.58066,125.79162,neutron,pi-
1,11,0.270,0.25,0.50,0.33032,0.344,0.30,0.40,1.8401,1.5000,2.0000,0.15399,0.10,0.20,FuuA,1184.26093,54.41653,118.42609,neutron,pi-
2,11,0.270,0.25,0.50,0.33030,0.349,0.30,0.40,1.8407,1.5000,2.0000,0.25778,0.20,0.30,FuuA,909.02901,61.62620,90.90290,neutron,pi-
3,11,0.270,0.25,0.50,0.33043,0.341,0.30,0.40,1.8400,1.5000,2.0000,0.36450,0.30,0.40,FuuA,671.18113,71.33846,67.11811,neutron,pi-
4,11,0.270,0.25,0.50,0.33153,0.349,0.30,0.40,1.8416,1.5000,2.0000,0.51572,0.40,0.60,FuuA,321.01064,61.80322,32.10106,neutron,pi-
5,11,0.265,0.25,0.50,0.34837,0.338,0.30,0.40,1.8997,1.5000,2.0000,0.63253,0.60,0.80,FuuA,145.21220,462.60720,14.52122,neutron,pi-
6,11,0.268,0.25,0.50,0.33278,0.440,0.40,0.50,1.8414,1.5000,2.0000,0.13364,0.10,0.20,FuuA,571.65308,70.92469,57.16531,neutron,pi-
7,11,0.271,0.25,0.50,0.32978,0.449,0.40,0.50,1.8387,1.5000,2.0000,0.22468,0.20,0.30,FuuA,464.66245,87.42247,46.46625,neutron,pi-
8,11,0.271,0.25,0.50,0.32994,0.450,0.40,0.50,1.8401,1.5000,2.0000,0.30541,0.30,0.40,FuuA,385.10250,87.38345,38.51025,neutron,pi-
9,11,0.269,0.25,0.50,0.33262,0.444,0.40,0.50,1.8430,1.5000,2.0000,0.47673,0.40,0.60,FuuA,228.87669,66.79701,22.88767,neutron,pi-
10,11,0.256,0.25,0.50,0.36554,0.424,0.40,0.50,1.9327,1.5000,2.0000,0.72370,0.60,0.80,FuuA,58.97979,753.09960,5.89798,neutron,pi-
11,11,0.268,0.25,0.50,0.33296,0.548,0.50,0.60,1.8412,1.5000,2.0000,0.16565,0.10,0.20,FuuA,250.93516,86.73311,25.09352,neutron,pi-
12,11,0.271,0.25,0.50,0.32981,0.524,0.50,0.60,1.8395,1.5000,2.0000,0.27153,0.20,0.30,FuuA,247.97613,120.71400,24.79761,neutron,pi-
13,11,0.266,0.25,0.50,0.33742,0.571,0.50,0.60,1.8519,1.5000,2.0000,0.36135,0.30,0.40,FuuA,148.30865,128.89140,14.83087,neutron,pi-
14,11,0.268,0.25,0.50,0.33329,0.523,0.50,0.60,1.8445,1.5000,2.0000,0.42333,0.40,0.60,FuuA,170.23190,123.43980,17.02319,neutron,pi-
